Avg_Temperature_C_Jan,Avg_Temperature_C_Feb,Avg_Temperature_C_Mar,Avg_Temperature_C_Nov,Avg_Temperature_C_Dec,Rainfall_mm_Jan,Rainfall_mm_Feb,Rainfall_mm_Mar,Rainfall_mm_Nov,Rainfall_mm_Dec,Crop_Yield_t_per_ha,Seasonal_Avg_Temp_Nov_Mar,Seasonal_Avg_Rain_Nov_Mar
15.61,20.39,31.6,20.95,17.325,24.45,13.9,20.15,137.88,29.53,4.213333333333334,21.175,45.182
16.87,21.08,38.18,22.57,16.9,21.85,40.06,32.08,44.0,45.58,3.0333333333333337,23.12,36.714
21.03,15.95,35.66,23.26,17.83,26.31,38.54,25.82,112.05,18.78,2.74,22.746,44.3
15.78,18.41,23.39,23.39,17.62,19.48,16.22,18.39,147.04,33.9,4.263333333333334,19.718,47.00599999999999
18.2,14.47,32.74,21.97,16.95,8.69,9.73,20.87,101.85,19.86,3.62,20.866000000000003,32.2
17.99,21.01,31.34,25.4,17.9175,8.42,28.77,20.27,111.8,20.3475,2.783333333333333,22.7315,37.9215
20.1,20.63,38.23,25.23,19.79,14.65,21.98,13.11,69.32,26.35,3.453333333333333,24.796,29.081999999999997
18.8,17.03,28.32,24.65,17.49,26.47,35.74,5.36,91.26,3.31,4.48,21.258,32.428000000000004
17.69,13.53,28.53,22.32,14.7,30.62,22.35,23.19,115.62,19.5,2.686666666666667,19.354,42.256
20.43,18.73,31.09,26.22,19.69,19.1,32.99,23.8,68.8,32.23,2.72,23.232000000000003,35.384
16.41,19.01,28.4,22.15,16.092499999999998,18.85,28.66,16.65,98.21,21.7475,3.313333333333333,20.4125,36.8235
17.49,21.26,30.68,28.27,11.52,7.52,5.7,21.31,41.44,9.76,3.4966666666666666,21.844,17.146
18.56,17.58,30.23,23.18,17.7,13.77,15.07,28.5,107.85,25.88,2.74,21.45,38.214
16.95,17.52,31.19,25.23,18.02,29.49,28.54,13.87,140.74,29.31,4.213333333333334,21.782,48.39
19.12,20.31,30.01,25.38,17.13,28.73,15.23,33.6,87.96,22.04,2.67,22.39,37.51199999999999
16.75,17.62,34.61,23.87,19.3225,39.14,22.17,24.96,109.86,23.040000000000003,2.686666666666667,22.4345,43.83400000000001
21.23,17.51,35.57,22.72,18.64,24.54,29.64,7.72,60.31,24.22,3.186666666666667,23.134000000000004,29.285999999999994
16.62,19.96,24.5,22.26,21.28,42.52,16.75,42.91,70.47,30.1,2.55,20.924,40.55
14.18,21.03,30.19,26.41,19.94,23.97,27.73,4.13,111.52,13.83,3.673333333333333,22.35,36.236
19.0,20.3,31.17,24.09,17.43,7.04,16.99,27.51,95.59,24.01,2.97,22.398,34.228
15.82,19.39,31.12,23.04,18.4175,16.13,28.49,19.28,74.12,22.5075,3.3800000000000003,21.5575,32.1055
20.12,19.37,35.64,23.69,19.39,26.17,6.34,22.61,83.55,16.08,3.87,23.642000000000003,30.95
20.23,17.28,30.76,25.9,18.32,34.48,6.74,22.6,61.42,25.02,3.06,22.498,30.052
17.83,18.39,36.5,23.35,18.18,21.86,11.87,32.48,51.29,23.96,2.973333333333333,22.85,28.292
