Avg_Temperature_C_Jan,Avg_Temperature_C_Feb,Avg_Temperature_C_Mar,Avg_Temperature_C_Apr,Avg_Temperature_C_May,Avg_Temperature_C_Jun,Avg_Temperature_C_Jul,Avg_Temperature_C_Aug,Avg_Temperature_C_Sep,Avg_Temperature_C_Oct,Avg_Temperature_C_Nov,Avg_Temperature_C_Dec,Rainfall_mm_Jan,Rainfall_mm_Feb,Rainfall_mm_Mar,Rainfall_mm_Apr,Rainfall_mm_May,Rainfall_mm_Jun,Rainfall_mm_Jul,Rainfall_mm_Aug,Rainfall_mm_Sep,Rainfall_mm_Oct,Rainfall_mm_Nov,Rainfall_mm_Dec,Crop_Yield_t_per_ha
15.61,20.39,31.6,29.65,31.64,26.23,29.44,31.45,28.45,21.16,20.95,16.9,24.45,13.9,20.15,26.48,24.2,258.13,261.36,260.02,326.63,47.18,137.88,45.58,3.8918393068653225
16.87,21.08,38.18,35.07,34.34,26.36,27.66,29.39,28.18,21.72,22.57,17.83,21.85,40.06,32.08,25.93,14.49,279.83,257.34,327.77,353.88,94.19,44.0,18.78,2.526401765785077
21.03,15.95,35.66,35.44,35.6,25.49,25.18,26.94,24.21,26.07,23.26,17.62,26.31,38.54,25.82,16.96,0.63,297.43,221.28,318.57,288.51,94.15,112.05,33.9,2.74
15.78,18.41,23.39,34.7,33.06,28.79,28.71,26.05,28.71,22.32,23.39,16.95,19.48,16.22,18.39,27.78,9.02,251.33,286.08,235.38,268.94,72.32,147.04,19.86,4.046589795561648
18.2,14.47,32.74,27.31,34.38,28.59,28.93,24.77,26.53,24.4,21.97,18.86,8.69,9.73,20.87,14.71,7.46,212.17,278.22,338.24,239.49,134.46,101.85,26.93,3.62
17.99,21.01,31.34,32.63,31.26,26.0,31.6,26.86,30.8,24.12,25.4,19.79,8.42,28.77,20.27,-0.42,13.18,265.94,312.04,308.63,326.23,80.59,111.8,26.35,3.69970927283925
20.1,20.63,38.23,37.21,30.05,27.36,29.05,27.95,31.46,24.08,25.23,17.49,14.65,21.98,13.11,21.98,15.16,301.21,251.31,387.11,301.82,103.6,69.32,3.31,2.864220029227078
18.8,17.03,28.32,27.31,31.68,24.73,29.6,29.07,30.75,24.8,24.65,14.7,26.47,35.74,5.36,40.02,37.81,251.36,288.96,217.31,318.85,79.43,91.26,19.5,4.48
17.69,13.53,28.53,33.12,34.42,30.22,24.89,23.81,27.48,25.3,22.32,19.69,30.62,22.35,23.19,19.13,7.54,244.6,266.38,292.71,341.68,58.24,115.62,32.23,3.6087671382469337
20.43,18.73,31.09,31.79,34.18,29.47,28.16,29.83,30.0,28.18,26.22,19.23,19.1,32.99,23.8,19.63,20.52,275.96,180.09,297.32,135.19,95.81,68.8,9.47,2.72
16.41,19.01,28.4,30.58,37.3,25.48,32.24,24.96,30.53,24.89,22.15,11.52,18.85,28.66,16.65,13.47,24.05,325.89,331.62,255.79,244.62,123.24,98.21,9.76,3.018284387479899
17.49,21.26,30.68,36.32,35.49,26.04,28.4,28.14,28.23,27.17,28.27,17.7,7.52,5.7,21.31,5.64,20.1,303.11,249.99,260.73,313.11,62.87,41.44,25.88,3.1013005693545623
18.56,17.58,30.23,34.86,33.09,26.74,29.1,24.42,26.66,27.11,23.18,18.02,13.77,15.07,28.5,34.53,25.81,323.84,244.49,218.97,338.1,86.81,107.85,29.31,2.74
16.95,17.52,31.19,37.74,26.62,30.41,29.54,26.6,23.82,23.38,25.23,17.13,29.49,28.54,13.87,30.65,15.53,220.17,313.35,279.56,368.52,124.11,140.74,22.04,4.627189988905174
19.12,20.31,30.01,32.93,34.57,27.96,27.96,28.65,29.04,23.78,25.38,18.45,28.73,15.23,33.6,34.75,18.4,229.87,265.57,238.64,356.64,112.05,87.96,20.13,2.67
16.75,17.62,34.61,32.45,39.21,28.4,30.21,29.28,31.27,24.61,23.87,18.64,39.14,22.17,24.96,23.65,19.42,332.53,339.35,222.85,222.68,77.37,109.86,24.22,2.9758800031730948
21.23,17.51,35.57,33.79,31.11,27.7,27.65,25.81,31.19,22.02,22.72,21.28,24.54,29.64,7.72,27.01,33.76,286.28,280.78,208.0,237.65,35.4,60.31,30.1,2.410462836311079
